,Dmean,SP-3,SP-4,SP-5,MPC2,MPC3,MPC4,piPC2,MWC2,MWC3,MWC4,MWC5,MWC6,SRW4,SRW6,SRW8
857,-5.766666666666666,-0.38248074,-0.28747028,-0.36159006,-0.11342362,-0.49053073,-0.5063409,-0.19687213,0.20870382,0.049558714,-0.031504337,-0.15141192,-0.2169028,0.18101133,-0.049002286,-0.27240866
858,-6.866666666666667,0.32706267,0.44476625,0.46585825,0.40744883,0.47667056,0.56346226,0.5456326,0.55249774,0.60926235,0.6376257,0.6730049,0.69068724,0.55894536,0.5988175,0.6265826
859,-7.099999999999999,-0.16565044,-0.21461749,-0.077546485,-0.26968533,-0.16813032,-0.15803294,0.18958361,-0.03924557,0.024376154,0.043231357,0.08713079,0.10091025,-0.031570144,0.015794523,0.061578006
860,-8.666666666666666,1.3662808,1.4871612,1.1232985,1.3971064,1.2647605,1.1854408,1.4954299,1.2167034,1.1521603,1.1074857,1.0383531,0.9946057,1.2033689,1.1170586,1.0130695
861,-5.8,-0.8418083,-0.933538,-0.8276651,-0.63429606,-0.7771089,-0.80489063,0.075535,-0.5723822,-0.5420781,-0.42267224,-0.3850786,-0.31011108,-0.5219603,-0.34687388,-0.22470349
862,-8.1,0.06572095,0.073603205,0.23015155,0.2511871,0.15427011,0.16539592,0.43930554,0.4016205,0.40887818,0.45677084,0.46481168,0.4943445,0.42018178,0.49513048,0.5349269
863,-5.966666666666666,-0.30209875,-0.32067415,-0.40140876,-0.2175981,-0.2039526,-0.20779122,0.32616994,-0.07268178,0.011644542,0.119266845,0.17779407,0.25316626,-0.031570144,0.1565758,0.3075906
864,-7.400000000000001,-0.35801134,-0.2417856,-0.10479354,-0.37385982,-0.31141937,-0.23267037,0.18958361,-0.106726006,-0.08024353,-0.08334851,-0.057336144,-0.05230722,-0.11541993,-0.13373955,-0.13290599
865,-6.766666666666667,-0.060955808,-0.08951711,-0.15822005,-0.11342362,-0.2039526,-0.28242865,0.281804,0.1794478,0.13488004,0.072171085,0.025317986,-0.02977923,0.16267294,0.06663436,-0.036876455
866,-7.099999999999999,-0.016301611,-0.097895734,-0.21759205,-0.11342362,-0.09648577,-0.20779122,0.15774271,0.14972661,0.15849413,0.13772236,0.13937204,0.124513164,0.14414829,0.14192079,0.13756365
867,-7.3,0.40586117,0.68808824,1.0513659,0.35536158,0.8707155,1.2849574,0.29671624,0.42762578,0.62717366,0.7787009,0.9209074,1.031982,0.46761274,0.72508734,0.9697677
868,-5.7,-0.5499324,-0.57761186,-0.5146351,-0.4259471,-0.59799755,-0.6058575,-0.43846092,-0.17673047,-0.2354488,-0.2498373,-0.2918304,-0.3063338,-0.18092258,-0.2461565,-0.32350197
869,-5.2,-1.3856287,-1.3715533,-1.3059655,-1.4156047,-1.3502653,-1.3024735,-1.4217657,-1.9374993,-1.9014506,-1.9212391,-1.8777994,-1.8877318,-1.9466075,-1.9165741,-1.8573916
870,-5.1000000000000005,-1.0059708,-1.0914123,-1.0420635,-1.1030812,-1.0636871,-1.0785612,-1.0671508,-1.1331928,-1.1267666,-1.1751539,-1.1585797,-1.1859788,-1.1551461,-1.1934972,-1.195388
871,-5.6000000000000005,-0.96304196,-1.1908246,-1.0490699,-0.9468195,-1.0278648,-1.1034404,-0.7719419,-0.96285826,-0.9607675,-0.93316394,-0.91719574,-0.9033503,-0.94124687,-0.8585637,-0.80232203
872,-7.666666666666667,0.47049052,0.439535,0.59265673,0.40744883,0.36920375,0.31467077,0.6821119,0.6002048,0.5728646,0.5301589,0.49979475,0.46138677,0.5884061,0.5449047,0.49998945
873,-7.0,-0.32257313,-0.24772395,-0.11268007,-0.32177258,-0.31141937,-0.23267037,0.5130873,-0.03924557,-0.04025569,-0.057215877,-0.045238145,-0.048396226,-0.05217603,-0.103585534,-0.1463561
874,-8.2,0.31668854,0.32463947,0.38821018,0.35536158,0.2975592,0.24003334,0.50650626,0.5281808,0.51676905,0.5048555,0.48310706,0.462463,0.5290037,0.5216681,0.48557332
875,-5.066666666666666,-1.1404551,-1.3713349,-1.442979,-1.2072557,-1.1711539,-1.3024735,-1.8160934,-1.456821,-1.3959975,-1.3635612,-1.2796364,-1.2502545,-1.4409946,-1.2955838,-1.130398
876,-6.3,-0.5082483,-0.5427483,-0.4803795,-0.5822088,-0.6338198,-0.6804949,-0.19687213,-0.2869021,-0.34211367,-0.4292054,-0.47118703,-0.5357908,-0.31939495,-0.43836996,-0.5373004
877,-10.4,2.0532334,2.4141862,2.6567218,2.1263278,2.4827175,2.8523433,1.3542966,1.4992712,1.5374384,1.583143,1.598592,1.6204087,1.5105299,1.5617636,1.5838395
878,-6.400000000000001,-0.22928996,-0.1755261,-0.16056389,-0.32177258,-0.2039526,-0.15803294,0.08392982,-0.07268178,-0.014108296,-0.0011888064,0.036752857,0.04517144,-0.07301628,-0.044877898,-0.013452835
879,-7.266666666666667,0.22741666,0.34520364,0.48618782,0.14701259,0.33338147,0.46394566,0.4597354,0.34849933,0.41897315,0.45301133,0.49979475,0.5249854,0.35497034,0.41286358,0.46944413
880,-4.7,-1.2260357,-1.309837,-1.3424892,-1.2593429,-1.2427984,-1.227836,-1.2894039,-1.5288445,-1.5168322,-1.5374063,-1.5122416,-1.5264249,-1.5315752,-1.5823175,-1.6230086
